,0,7,14,21,28,35,42,49,56,63,70,77,84,91,98,105,112,119
CLN3,1.04,0.19,0.47,-1.03,-0.63,-0.68,0.1,-0.02,0.53,0.68,0.51,-0.2,-0.34,-0.59,-0.31,-0.25,0.11,0.44
CDC28,0.12,-0.57,0.22,-0.06,0.03,-0.33,0.26,-0.15,-0.18,0.37,-0.18,0.38,0.14,-0.05,-0.03,0.28,-0.33,0.08
MBPI,-0.39,-0.21,-0.46,-0.31,-0.07,0.16,-0.29,0.01,0.22,0.43,0.56,-0.16,-0.33,0.09,0.12,0.49,0.07,0.07
CDC53,0.27,0.09,0.1,-0.05,-0.17,-0.21,0.2,0.12,0.23,0.09,-0.1,-0.02,0.01,-0.57,-0.07,-0.17,0.23,0.03
CDC34,0.14,0.14,0.07,0.05,0.07,-0.17,0.22,-0.12,0.14,0.01,-0.01,-0.19,-0.02,-0.23,-0.04,-0.16,0.04,0.05
SW15,-1.29,-0.7,-0.33,-0.88,-0.19,0.05,0.02,0.68,0.75,0.64,0.42,-0.07,-0.79,-0.00245199,-0.19,0.73,0.64,0.51
SKP1,-0.019533139,-0.05,0.03,0.31,0.15,-0.12,0.03,-0.25,-0.09,0.26,0.03,0.12,-0.12,-0.12,-0.1,-0.14,0.2,-0.12
SW14,-1.21,-0.26,1.36,1.37,0.54,0.18,-0.85,-0.82,-0.75,0.07,0.89,0.78,0.37,-0.19,-0.11,-0.54,-0.34,-0.47
HCT1,0.19,-0.01,-0.04,-0.26,-0.009347865,-0.08,0.19,0.1,0,0.13,-0.09,-0.03,0,-0.2,0,0.05,0.1,-0.04
CDC20,-0.19,-0.19,-0.49,-0.77,-0.31,-0.61,-0.03,0.48,0.93,0.53,0.11,0.17,-0.51,-0.4,0.08,-0.12,0.56,0.74
CLB1,-1.88,-0.95,-1.22,-1.1,-0.91,-0.06,0.5,1.2,1.11,0.22,0.47,-0.02,-0.12,-0.12,0.42,0.98,0.7,0.78
CLB6,-1.79,-0.010437121,2.13,1.75,0.23,0.15,-0.66,-0.77,-0.73,-0.15,1.14,1.41,0.46,-0.21,-0.77,-0.56,-1.04,-0.58
SICI,-0.66,0.1,-0.57,-0.21,-0.45,-0.42,-0.77,-0.53,-0.47,0.81,1.41,1.01,0.68,0.21,-0.04,-0.09,-0.28,0.27
SW16,-0.06,-0.18,-0.14,-0.13,0.34,0.13,0.28,-0.03,-0.23,0.1,-0.35,0.11,0.08,-0.16,0.14,0.04,0.17,-0.09
CLB4,0.05,0.01,-0.27,0.23,0.36,0.38,0.36,-0.03,-0.11,-0.09,-0.42,-0.08,-0.14,0.22,0.17,0.11,-0.79,0.04
MCM1,-0.27,0.74,-0.49,-0.074342182,-0.36,0.81,-0.32,-0.29,-0.24,0.16,0.76,-0.02,0.4,-0.36,-0.51,0.676660679,-0.592318421,-0.02
CLN1,-1.56,-0.93,1.29,0.000667505,0.94,0.48,0.07,-0.54,-1.11,-0.77,0.66,1.14,0.99,0.3,0.35,-0.02,-0.41,-0.88
CLN2,-1.41,-0.69,1.39,1.98,0.74,0.21,-0.36,-1.32,-1.5,-1.07,0.35,1.57,1.1,0.56,0.18,-0.32,-0.38,-1.04
CLB2,-2.36,0.016826153,-1.96,-2.29,-1.36,0.4,1.09,1.54,1.5,0.92,0.05,-0.23,-0.42,-0.29,0.12,0.73,1.35,1.2
CLB5,-0.98,-0.38,0.92,0.97,0.26,-0.09,-0.18,-0.4,-0.35,-0.33,0.7,0.61,0.31,-0.23,0.1,-0.2,-0.21,-0.5
