,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160
CLN3,-0.05,-0.15,-0.58,-0.58,0.18,-0.67,0.29,0.2,0.02,1.32,0.27,0.015571895,-0.41,-0.05,0.17,0.14,-0.11
CDC28,-0.46,0.15,0.71,0.06,-0.14,-0.04,0.35,-0.06,-0.3,0.23,0.3,0.05,-0.18,0.000453298,-0.16,0.01,-0.52
MBPI,-0.16,-0.3,-0.33,0.08,0.32,0.27,0.27,0.03,-0.01,-0.54,-0.24,-0.15,0.33,0.010257384,0.27,0.23,-0.08
CDC53,0.24,-0.53,-0.78,-0.44,0.28,0.02,-0.25,0.09,0.07,0.31,0.2,0.19,0.1,0.14,0.00971685,0.04,0.31
CDC34,-0.46,0.02,-0.37,-0.21,-0.56,0.02,-0.2,0.06,0.12,0.43,0.25,-0.09,0.15,0.3,0.007013506,0.29,0.24
SW15,-1.82,-1.35,-0.65,-0.67,-0.4,0.34,0.57,0.47,0.51,0.34,0.12,-0.25,0.08,0.008659163,0.8,1.27,0.63
SKP1,-0.09,-0.18,0.19,-0.1,0.14,-0.33,-0.22,-0.19,-0.32,0.27,0.23,0.019444928,-0.27,0.27,0.11,0.13,0.34
SW14,-0.21,0.19,0.86,0.04,-0.35,-0.39,-0.51,-0.2,0,0.92,0.77,0.41,0.14,-0.45,-1.23,0.386212379,-0.376208762
HCT1,-0.18,-0.23,-0.23,-0.31,0.34,0.24,0.46,0.74,0.37,-0.46,-0.01,-0.29,-0.15,-0.15,0.01,-0.13,-0.01
CDC20,-1.08,-1.04,-0.83,-0.86,-0.67,0,1.07,1.53,1.23,0.17,-0.08,-0.58,-0.45,-0.38,0.44,0.61,0.9
CLB1,-1.86,-0.52,-0.98,-0.95,-0.26,0.69,1.13,0.92,0.86,-0.17,-0.41,-0.51,-0.27,0.6,0.009090257,0.92,0.8
CLB6,-0.21,0.72,1.89,0.63,-0.87,-0.75,-0.49,-1.2,-0.95,0.96,1.14,0.56,-0.06,-0.03,0.001574138,-0.85,-0.49
SICI,-0.3,-0.56,-0.29,-0.5,-0.27,-0.29,-0.56,-1.04,0.32,1.57,0.9,0.45,0.17,0.007820039,-0.12,-0.16,0.67
SW16,-0.73,-0.42,0.01,0.28,0.32,0.29,0.09,0.05,-0.32,-0.1,0.12,-0.12,0.09,0.000365488,0.35,0.1,-0.01
CLB4,-0.43,-0.4,-0.24,0.42,0.42,0.41,0.68,-0.02,0.34,-1.08,-0.29,-0.06,0.26,-0.001686582,-0.06,0.21,-0.16
MCM1,-0.34,0.09,0.3,0.11,0.16,0.13,0.02,0.22,-0.24,0.38,0.19,0.00086145,-0.53,0.1,-0.18,-0.17,-0.24
CLN1,0.043853805,0.21,0.57,0.53,0.14,0.16,-0.34,-0.66,-1.49,0.35,1.05,0.62,-0.053858575,0.25,-0.23,-0.56,-0.59
CLN2,-0.354123574,0.85,1.47,0.54,0.03,-0.15,-0.28,-0.5,-1.57,-0.18,0.52,0.86,0.354131808,-0.1,-0.39,-0.05,-1.05
CLB2,-1.35,-0.57,-0.95,-0.7,0.14,0.57,1.06,1.24,0.84,0.01,-0.35,-0.64,-0.11,0.18,0.63,-0.436159923,0.436158678
CLB5,-0.33,0.16,1.32,0.43,-0.1,-0.2,-0.59,-0.32,-0.63,0.78,0.91,-0.13,-0.12,-0.1,-0.013842675,-0.6,-0.47
